dataset,n,mean_forecast,sd_forecast,pct_below_0.1,pct_0.1_0.9,pct_above_0.9,ECE,overconf_high_n,overconf_high_pct,overconf_low_n,overconf_low_pct
P1-P3,8196,0.28490,0.29410,36.60000,58.20000,5.20000,0.08184,384,4.70000,340,4.10000
P1-P3_bin_0.0-0.1,2996,0.0351,,,,,,mean_outcome=0.0574,,gap=-0.0223,
P1-P3_bin_0.1-0.2,1397,0.1366,,,,,,mean_outcome=0.1203,,gap=0.0163,
P1-P3_bin_0.2-0.3,800,0.2373,,,,,,mean_outcome=0.2325,,gap=0.0048,
P1-P3_bin_0.3-0.4,792,0.3406,,,,,,mean_outcome=0.3157,,gap=0.0249,
P1-P3_bin_0.4-0.5,377,0.4319,,,,,,mean_outcome=0.4005,,gap=0.0314,
P1-P3_bin_0.5-0.6,203,0.5497,,,,,,mean_outcome=0.4089,,gap=0.1408,
P1-P3_bin_0.6-0.7,441,0.6418,,,,,,mean_outcome=0.4671,,gap=0.1747,
P1-P3_bin_0.7-0.8,354,0.7389,,,,,,mean_outcome=0.4605,,gap=0.2785,
P1-P3_bin_0.8-0.9,351,0.8410,,,,,,mean_outcome=0.4729,,gap=0.3681,
P1-P3_bin_0.9-1.0,485,0.9596,,,,,,mean_outcome=0.5216,,gap=0.4379,
P4,2695,0.25910,0.27760,39.70000,56.20000,4.00000,0.06369,85,3.20000,125,4.60000
P4_bin_0.0-0.1,1071,0.0374,,,,,,mean_outcome=0.0626,,gap=-0.0252,
P4_bin_0.1-0.2,478,0.1411,,,,,,mean_outcome=0.1213,,gap=0.0197,
P4_bin_0.2-0.3,298,0.2408,,,,,,mean_outcome=0.2416,,gap=-0.0008,
P4_bin_0.3-0.4,220,0.3459,,,,,,mean_outcome=0.3727,,gap=-0.0268,
P4_bin_0.4-0.5,101,0.4344,,,,,,mean_outcome=0.3564,,gap=0.078,
P4_bin_0.5-0.6,81,0.5553,,,,,,mean_outcome=0.5556,,gap=-0.0002,
P4_bin_0.6-0.7,132,0.6485,,,,,,mean_outcome=0.5303,,gap=0.1182,
P4_bin_0.7-0.8,103,0.7460,,,,,,mean_outcome=0.3981,,gap=0.3479,
P4_bin_0.8-0.9,100,0.8454,,,,,,mean_outcome=0.5900,,gap=0.2554,
P4_bin_0.9-1.0,111,0.9660,,,,,,mean_outcome=0.5676,,gap=0.3984,
