category,name,condition,mean_brier,n
topic,ai_technology,closed_book,0.1262,720
topic,ai_technology,shared_evidence,0.0965,720
topic,conflict,closed_book,0.1701,648
topic,conflict,shared_evidence,0.1893,647
topic,economics,closed_book,0.1282,503
topic,economics,shared_evidence,0.0872,503
topic,energy,closed_book,0.2515,143
topic,energy,shared_evidence,0.3886,144
topic,entertainment,closed_book,0.1831,180
topic,entertainment,shared_evidence,0.2112,180
topic,finance_market,closed_book,0.2795,504
topic,finance_market,shared_evidence,0.2169,504
topic,geopolitics,closed_book,0.1627,718
topic,geopolitics,shared_evidence,0.1629,716
topic,other,closed_book,0.2034,179
topic,other,shared_evidence,0.1413,180
topic,public_health,closed_book,0.2545,215
topic,public_health,shared_evidence,0.1679,216
topic,sports,closed_book,0.1839,288
topic,sports,shared_evidence,0.0248,288
source,manifold,closed_book,0.1596,1295
source,manifold,shared_evidence,0.0861,1296
source,polymarket,closed_book,0.1540,1472
source,polymarket,shared_evidence,0.1592,1473
source,metaculus,closed_book,0.2276,1331
source,metaculus,shared_evidence,0.2096,1329
